Date,Home Team,Away Team,Home Elo,Away Elo
9/4/2014,SEA,GB,1678.971,1499.827
9/7/2014,PHI,JAX,1528.197,1361.082
9/7/2014,PIT,CLE,1537.231,1390.199
9/7/2014,BAL,CIN,1529.779,1560.389
9/7/2014,TB,CAR,1436.161,1576.688
9/7/2014,DEN,IND,1624.09,1540.218
9/7/2014,LAR,MIN,1512.75,1474.824
9/7/2014,ATL,NO,1458.825,1573.737
9/7/2014,CHI,BUF,1493.573,1456.183
9/7/2014,DAL,SF,1501.041,1647.763
9/7/2014,HOU,WSH,1384.864,1399.479
9/7/2014,KC,TEN,1503.448,1466.756
9/7/2014,MIA,NE,1482.607,1624.459
9/7/2014,NYJ,OAK,1465.72,1370.713
9/8/2014,ARI,LAC,1551.021,1559.872
9/8/2014,DET,NYG,1472.359,1494.944
9/11/2014,BAL,PIT,1506.57,1542.992
9/14/2014,BUF,MIA,1474.887,1515.905
9/14/2014,CAR,DET,1591.474,1499.001
9/14/2014,CIN,ATL,1583.598,1475.033
9/14/2014,WSH,JAX,1378.685,1350.198
9/14/2014,CLE,NO,1384.438,1557.528
9/14/2014,DEN,KC,1635.697,1465.288
9/14/2014,GB,NYJ,1489.032,1475.232
9/14/2014,MIN,NE,1520.319,1591.162
9/14/2014,SF,CHI,1666.188,1474.868
9/14/2014,NYG,ARI,1468.302,1556.697
9/14/2014,LAC,SEA,1554.196,1689.766
9/14/2014,TEN,DAL,1504.915,1482.616
9/14/2014,TB,LAR,1421.375,1467.255
9/14/2014,OAK,HOU,1361.201,1405.658
9/15/2014,IND,PHI,1528.612,1539.081
9/18/2014,ATL,TB,1461.523,1409.683
9/21/2014,MIA,KC,1488.313,1457.585
9/21/2014,CAR,PIT,1606.996,1515.404
9/21/2014,CIN,TEN,1597.108,1468.151
9/21/2014,CLE,BAL,1399.474,1534.158
9/21/2014,ARI,SF,1579.632,1625.705
9/21/2014,DET,GB,1483.479,1504.631
9/21/2014,LAR,DAL,1478.947,1519.379
9/21/2014,JAX,IND,1325.689,1512.183
9/21/2014,NO,MIN,1542.491,1489.155
9/21/2014,NE,OAK,1622.325,1330.913
9/21/2014,NYG,HOU,1445.368,1435.946
9/21/2014,PHI,WSH,1555.509,1403.194
9/21/2014,SEA,DEN,1661.21,1643.4
9/21/2014,BUF,LAC,1502.479,1582.751
9/22/2014,NYJ,CHI,1459.633,1515.351
9/25/2014,WSH,NYG,1397.579,1465.509
9/28/2014,IND,TEN,1533.148,1453.21
9/28/2014,SF,PHI,1604.118,1561.124
9/28/2014,NYJ,DET,1436.978,1505.47
